assignee,video_path,video_key,class_name,start_frame,end_frame,fps,frame_count,frames_dir,notes
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c01.avi,PushUps__v_PushUps_g08_c01,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g08_c01,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c02.avi,PushUps__v_PushUps_g08_c02,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g08_c02,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c03.avi,PushUps__v_PushUps_g08_c03,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g08_c03,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g08_c04.avi,PushUps__v_PushUps_g08_c04,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g08_c04,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c01.avi,PushUps__v_PushUps_g09_c01,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g09_c01,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c02.avi,PushUps__v_PushUps_g09_c02,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g09_c02,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c03.avi,PushUps__v_PushUps_g09_c03,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g09_c03,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g09_c04.avi,PushUps__v_PushUps_g09_c04,push_up,,,25.0,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g09_c04,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c01.avi,PushUps__v_PushUps_g10_c01,push_up,,,25.0,69,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g10_c01,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c02.avi,PushUps__v_PushUps_g10_c02,push_up,,,25.0,62,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g10_c02,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c03.avi,PushUps__v_PushUps_g10_c03,push_up,,,25.0,66,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g10_c03,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g10_c04.avi,PushUps__v_PushUps_g10_c04,push_up,,,25.0,71,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g10_c04,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c01.avi,PushUps__v_PushUps_g11_c01,push_up,,,25.0,66,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g11_c01,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c02.avi,PushUps__v_PushUps_g11_c02,push_up,,,25.0,59,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g11_c02,
lrx,/data1/shiyuqi/UCF/PushUps/v_PushUps_g11_c03.avi,PushUps__v_PushUps_g11_c03,push_up,,,25.0,55,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/PushUps__v_PushUps_g11_c03,
